location,new_deaths,total_vaccinations
Afghanistan,2,5081064
Afghanistan,6,5125146
Afghanistan,1,5152297
Afghanistan,10,5216998
Afghanistan,7,5321308
Afghanistan,5,5412309
Afghanistan,8,5535254
Afghanistan,1,5597130
Afghanistan,0,5731146
Afghanistan,2,5751015
Afghanistan,0,5872684
Afghanistan,0,5940400
Afghanistan,1,5948889
Afghanistan,0,5985756
Afghanistan,0,5986139
Iran,67,0
Iran,89,3000
Iran,67,10000
Iran,68,124193
Iran,85,319890
Iran,304,462642
Iran,398,550131
Iran,395,621822
Iran,453,667202
Iran,434,938754
Iran,385,1002591
Iran,407,1068123
Iran,344,1314641
Iran,335,1485287
Iran,351,1767570
Iran,286,2329379
Iran,251,3141577
Iran,179,4553653
Iran,119,4792881
Iran,136,4968642
Iran,142,5717914
Iran,166,6530124
Iran,213,8155411
Iran,322,10168674
Iran,411,12388974
Iran,588,16213714
Iran,655,19894523
Iran,709,23137699
Iran,581,26176126
Iran,669,27057253
Iran,610,29152527
Iran,487,35047143
Iran,448,36753231
Iran,355,42003863
Iran,344,43372270
Iran,289,51950783
Iran,229,57676540
Iran,222,64401471
Iran,181,74113680
Iran,178,77641350
Iran,124,79533819
Iran,140,81360772
Iran,123,85369917
Iran,160,89255211
Iran,132,92677737
Iran,112,95866990
Iran,124,98181400
Iran,104,102145229
Iran,87,104609358
Iran,80,104781077
Iran,76,107531771
Iran,61,109807742
Iran,50,113239941
Iran,52,116210697
Iran,22,119325720
Iran,31,122153249
Iran,30,124970698
Iran,24,125262221
Iran,18,125560035
Iran,31,125973179
Iran,20,126401975
Iran,18,126779652
Iran,19,127216770
Iran,20,127687808
Iran,30,128252824
Iran,28,128640395
Iran,21,129022276
Iran,29,129913186
Iran,23,130711386
Iran,24,131044477
Iran,44,131617252
Iran,30,132202293
Iran,50,132725305
Iran,59,133346414
Iran,61,134137258
Iran,57,134449270
Iran,64,134804696
Iran,85,135264672
Iran,104,135705646
Iran,114,136080644
Iran,116,136475508
Iran,130,136862214
Iran,143,137110534
Iran,133,137334302
Iran,148,137659890
Iran,168,137986813
Iran,167,138197905
Iran,185,138357387
Iran,187,138883111
Iran,191,139147658
Iran,242,139467036
Iran,236,139778863
Iran,223,140067676
Iran,227,140520797
Iran,214,140837463
Iran,224,141006000
Iran,241,141150412
Iran,207,141526830
Iran,226,141724717
Iran,203,141839666
Iran,172,142015103
Iran,154,142537180
Iran,201,142884337
Iran,168,143232107
Iran,144,143490366
Iran,173,143791282
Iran,139,144079994
Iran,120,144547815
Iran,114,145041265
Iran,98,145726159
Iran,72,145935239
Iran,60,146046396
Iran,73,146109352
Iran,52,146178539
Iran,50,146302121
Iran,42,146655682
Iran,46,146792557
Iran,49,146884643
Iran,38,147149111
Iran,53,147235430
Iran,39,147353682
Iran,44,147435574
Iran,36,147618887
Iran,49,147673092
Iran,39,147767297
Iran,34,147858838
Iran,28,147955947
Iran,33,148013217
Iran,29,148289629
Iran,25,148361446
Iran,19,148495353
Iran,21,148590823
Iran,12,148600690
Iran,23,148631915
Iran,21,148688755
Iran,28,148734814
Iran,17,148848846
Iran,11,148902851
Iran,18,148984641
Iran,17,149007608
Iraq,22,0
Iraq,37,26727
Iraq,33,93021
Iraq,39,103006
Iraq,44,152962
Iraq,30,197914
Iraq,46,298377
Iraq,34,453361
Iraq,35,520491
Iraq,27,549969
Iraq,22,582537
Iraq,23,613840
Iraq,31,703820
Iraq,25,805363
Iraq,29,1087866
Iraq,33,1330393
Iraq,87,2102550
Iraq,73,3118411
Iraq,65,3368843
Iraq,48,3504509
Iraq,62,3754174
Iraq,62,5739867
Iraq,51,6672182
Iraq,44,7448300
Iraq,38,7608508
Iraq,28,8187299
Iraq,18,8506934
Iraq,24,8972041
Iraq,27,9370826
Iraq,25,9632835
Iraq,33,10806021
Iraq,23,11380981
Iraq,13,11715365
Iraq,21,12048583
Iraq,13,12268675
Iraq,6,12550487
Iraq,12,12912613
Iraq,13,13174583
Iraq,13,13360483
Iraq,12,13685013
Iraq,8,13928740
Iraq,9,14140578
Iraq,8,14428341
Iraq,2,14577185
Iraq,5,14714511
Iraq,5,14846973
Iraq,5,15035683
Iraq,10,15157561
Iraq,4,15370064
Iraq,10,15532626
Iraq,14,15622179
Iraq,16,15769592
Iraq,26,16257861
Iraq,11,16507035
Iraq,12,16785945
Iraq,7,17014009
Iraq,4,17372433
Iraq,2,17536902
Iraq,3,17778382
Iraq,2,17906725
Iraq,0,17943392
Iraq,2,18043543
Iraq,1,18060386
Kazakhstan,91,0
Kazakhstan,0,14000
Kazakhstan,0,22294
Kazakhstan,0,87902
Kazakhstan,0,109995
Kazakhstan,0,385281
Kazakhstan,0,443974
Kazakhstan,194,856906
Kazakhstan,0,893164
Kazakhstan,0,956101
Kazakhstan,0,1001805
Kazakhstan,0,1133982
Kazakhstan,0,1559836
Kazakhstan,0,1769678
Kazakhstan,0,2025911
Kazakhstan,0,2158924
Kazakhstan,0,2455655
Kazakhstan,0,2512860
Kazakhstan,0,2564012
Kazakhstan,173,2590798
Kazakhstan,0,2603997
Kazakhstan,0,2650169
Kazakhstan,0,2700694
Kazakhstan,0,2754555
Kazakhstan,0,2808926
Kazakhstan,0,2872258
Kazakhstan,0,2902678
Kazakhstan,0,2914650
Kazakhstan,0,2964855
Kazakhstan,0,3009654
Kazakhstan,0,3097941
